x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
390.9824,-1292.4238,38.7219,0.9525,18.0000,0,0,0,0,0
391.5568,-1291.6164,38.7004,0.9525,18.0000,0,0,0,0,0
392.1364,-1290.8015,38.7075,0.9526,18.0000,0,0,0,0,0
392.7158,-1289.9865,38.7151,0.9527,18.0000,0,0,0,0,0
393.2953,-1289.1716,38.7227,0.9526,18.0000,0,0,0,0,0
393.8749,-1288.3567,38.7305,0.9525,18.0000,0,0,0,0,0
394.4546,-1287.5420,38.7384,0.9523,18.0000,0,0,0,0,0
395.0345,-1286.7273,38.7464,0.9522,18.0000,0,0,0,0,0
395.6144,-1285.9127,38.7545,0.9520,18.0000,0,0,0,0,0
396.1945,-1285.0981,38.7631,0.9519,18.0000,0,0,0,0,0
396.7747,-1284.2837,38.7729,0.9518,18.0000,0,0,0,0,0
397.3549,-1283.4693,38.7835,0.9517,18.0000,0,0,0,0,0
397.9352,-1282.6550,38.7941,0.9516,18.0000,0,0,0,0,0
398.5155,-1281.8407,38.8045,0.9516,18.0000,0,0,0,0,0
399.0959,-1281.0264,38.8147,0.9515,18.0000,0,0,0,0,0
399.6763,-1280.2121,38.8249,0.9515,18.0000,0,0,0,0,0
400.2568,-1279.3979,38.8351,0.9515,18.0000,0,0,0,0,0
400.8373,-1278.5837,38.8454,0.9514,18.0000,0,0,0,0,0
401.4178,-1277.7695,38.8557,0.9514,18.0000,0,0,0,0,0
401.9982,-1276.9553,38.8661,0.9514,18.0000,0,0,0,0,0
402.5787,-1276.1411,38.8766,0.9514,18.0000,0,0,0,0,0
403.1592,-1275.3269,38.8872,0.9515,18.0000,0,0,0,0,0
403.7397,-1274.5126,38.8981,0.9515,18.0000,0,0,0,0,0
404.3201,-1273.6984,38.9092,0.9515,18.0000,0,0,0,0,0
404.9005,-1272.8842,38.9205,0.9515,18.0000,0,0,0,0,0
405.4809,-1272.0699,38.9319,0.9516,18.0000,0,0,0,0,0
406.0613,-1271.2556,38.9431,0.9516,18.0000,0,0,0,0,0
406.6416,-1270.4413,38.9543,0.9516,18.0000,0,0,0,0,0
407.2219,-1269.6270,38.9652,0.9517,18.0000,0,0,0,0,0
407.8022,-1268.8127,38.9759,0.9517,18.0000,0,0,0,0,0
408.3824,-1267.9983,38.9863,0.9518,18.0000,0,0,0,0,0
408.9626,-1267.1839,38.9963,0.9518,18.0000,0,0,0,0,0
409.5428,-1266.3694,39.0058,0.9519,18.0000,0,0,0,0,0
410.1229,-1265.5549,39.0147,0.9519,18.0000,0,0,0,0,0
410.7030,-1264.7404,39.0230,0.9520,18.0000,0,0,0,0,0
411.2831,-1263.9259,39.0305,0.9520,18.0000,0,0,0,0,0
411.8631,-1263.1113,39.0373,0.9521,18.0000,0,0,0,0,0
412.4431,-1262.2967,39.0432,0.9521,18.0000,0,0,0,0,0
413.0230,-1261.4821,39.0481,0.9522,18.0000,0,0,0,0,0
413.6029,-1260.6674,39.0520,0.9522,18.0000,0,0,0,0,0
414.1828,-1259.8527,39.0548,0.9523,18.0000,0,0,0,0,0
414.7626,-1259.0380,39.0565,0.9524,18.0000,0,0,0,0,0
415.3423,-1258.2231,39.0534,0.9525,18.0000,0,0,0,0,0
415.9219,-1257.4083,39.0468,0.9525,18.0000,0,0,0,0,0
416.5015,-1256.5934,39.0402,0.9525,18.0000,0,0,0,0,0
417.0811,-1255.7785,39.0336,0.9525,18.0000,0,0,0,0,0
417.6607,-1254.9636,39.0271,0.9525,18.0000,0,0,0,0,0
418.2403,-1254.1488,39.0205,0.9525,18.0000,0,0,0,0,0
418.8199,-1253.3339,39.0139,0.9525,18.0000,0,0,0,0,0
419.3995,-1252.5190,39.0073,0.9525,18.0000,0,0,0,0,0
419.9791,-1251.7041,39.0007,0.9526,18.0000,0,0,0,0,0
420.5586,-1250.8892,38.9938,0.9527,18.0000,0,0,0,0,0
421.1380,-1250.0742,38.9858,0.9529,18.0000,0,0,0,0,0
421.7173,-1249.2591,38.9780,0.9529,18.0000,0,0,0,0,0
422.2966,-1248.4441,38.9702,0.9529,18.0000,0,0,0,0,0
422.8759,-1247.6290,38.9623,0.9529,18.0000,0,0,0,0,0
423.4552,-1246.8139,38.9549,0.9530,18.0000,0,0,0,0,0
424.0343,-1245.9987,38.9486,0.9531,18.0000,0,0,0,0,0
424.6134,-1245.1835,38.9422,0.9531,18.0000,0,0,0,0,0
425.1926,-1244.3682,38.9358,0.9531,18.0000,0,0,0,0,0
425.7717,-1243.5530,38.9295,0.9531,18.0000,0,0,0,0,0
426.3508,-1242.7378,38.9231,0.9532,18.0000,0,0,0,0,0
426.9298,-1241.9225,38.9177,0.9533,18.0000,0,0,0,0,0
427.5088,-1241.1072,38.9131,0.9534,18.0000,0,0,0,0,0
428.0877,-1240.2918,38.9085,0.9534,18.0000,0,0,0,0,0
428.6665,-1239.4764,38.9048,0.9536,18.0000,0,0,0,0,0
429.2453,-1238.6608,38.9024,0.9536,18.0000,0,0,0,0,0
429.8240,-1237.8453,38.8999,0.9536,18.0000,0,0,0,0,0
430.4027,-1237.0298,38.8975,0.9536,18.0000,0,0,0,0,0
430.9814,-1236.2143,38.8951,0.9536,18.0000,0,0,0,0,0
431.5601,-1235.3987,38.8926,0.9536,18.0000,0,0,0,0,0
432.1388,-1234.5832,38.8902,0.9537,18.0000,0,0,0,0,0
432.7175,-1233.7677,38.8882,0.9538,18.0000,0,0,0,0,0
433.2960,-1232.9520,38.8880,0.9539,18.0000,0,0,0,0,0
433.8745,-1232.1363,38.8881,0.9541,18.0000,0,0,0,0,0
434.4528,-1231.3204,38.8909,0.9542,18.0000,0,0,0,0,0
435.0310,-1230.5046,38.8937,0.9542,18.0000,0,0,0,0,0
435.6092,-1229.6887,38.8965,0.9542,18.0000,0,0,0,0,0
436.1875,-1228.8728,38.8993,0.9542,18.0000,0,0,0,0,0
436.7657,-1228.0570,38.9021,0.9542,18.0000,0,0,0,0,0
437.3440,-1227.2411,38.9049,0.9542,18.0000,0,0,0,0,0
437.9222,-1226.4253,38.9077,0.9542,18.0000,0,0,0,0,0
438.5005,-1225.6094,38.9105,0.9543,18.0000,0,0,0,0,0
439.0785,-1224.7934,38.9154,0.9545,18.0000,0,0,0,0,0
439.6564,-1223.9774,38.9219,0.9546,18.0000,0,0,0,0,0
440.2343,-1223.1613,38.9285,0.9547,18.0000,0,0,0,0,0
440.8121,-1222.3451,38.9364,0.9549,18.0000,0,0,0,0,0
441.3898,-1221.5289,38.9464,0.9550,18.0000,0,0,0,0,0
441.9674,-1220.7126,38.9564,0.9550,18.0000,0,0,0,0,0
442.5450,-1219.8964,38.9664,0.9550,18.0000,0,0,0,0,0
443.1226,-1219.0802,38.9764,0.9550,18.0000,0,0,0,0,0
443.7002,-1218.2639,38.9864,0.9550,18.0000,0,0,0,0,0
444.2778,-1217.4477,38.9964,0.9550,18.0000,0,0,0,0,0
444.8554,-1216.6314,39.0069,0.9552,18.0000,0,0,0,0,0
445.4327,-1215.8150,39.0204,0.9553,18.0000,0,0,0,0,0
446.0100,-1214.9985,39.0343,0.9554,18.0000,0,0,0,0,0
446.5871,-1214.1820,39.0500,0.9556,18.0000,0,0,0,0,0
447.1640,-1213.3654,39.0684,0.9557,18.0000,0,0,0,0,0
447.7409,-1212.5488,39.0868,0.9557,18.0000,0,0,0,0,0
448.3178,-1211.7322,39.1051,0.9557,18.0000,0,0,0,0,0
448.8947,-1210.9156,39.1235,0.9557,18.0000,0,0,0,0,0
449.4716,-1210.0990,39.1419,0.9557,18.0000,0,0,0,0,0
450.0485,-1209.2824,39.1602,0.9557,18.0000,0,0,0,0,0
450.6254,-1208.4658,39.1786,0.9559,18.0000,0,0,0,0,0
451.2021,-1207.6491,39.1999,0.9563,18.0000,0,0,0,0,0
451.7783,-1206.8320,39.2174,0.9566,18.0000,0,0,0,0,0
452.3546,-1206.0149,39.2348,0.9566,18.0000,0,0,0,0,0
452.9308,-1205.1978,39.2523,0.9566,18.0000,0,0,0,0,0
453.5071,-1204.3807,39.2697,0.9566,18.0000,0,0,0,0,0
454.0833,-1203.5637,39.2872,0.9566,18.0000,0,0,0,0,0
454.6596,-1202.7466,39.3046,0.9566,18.0000,0,0,0,0,0
455.2358,-1201.9295,39.3221,0.9566,18.0000,0,0,0,0,0
455.8121,-1201.1124,39.3395,0.9566,18.0000,0,0,0,0,0
456.3883,-1200.2953,39.3570,0.9566,18.0000,0,0,0,0,0
456.9645,-1199.4782,39.3739,0.9570,18.0000,0,0,0,0,0
