x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-114.4126,-470.5494,40.8730,-0.6703,18.0000,0,0,0,0,0
-113.6314,-471.1687,40.8150,-0.6701,18.0000,0,0,0,0,0
-112.8480,-471.7893,40.7813,-0.6699,18.0000,0,0,0,0,0
-112.0646,-472.4099,40.7481,-0.6699,18.0000,0,0,0,0,0
-111.2812,-473.0305,40.7153,-0.6699,18.0000,0,0,0,0,0
-110.4977,-473.6510,40.6832,-0.6698,18.0000,0,0,0,0,0
-109.7141,-474.2716,40.6520,-0.6698,18.0000,0,0,0,0,0
-108.9305,-474.8921,40.6220,-0.6697,18.0000,0,0,0,0,0
-108.1467,-475.5125,40.5936,-0.6696,18.0000,0,0,0,0,0
-107.3629,-476.1330,40.5677,-0.6695,18.0000,0,0,0,0,0
-106.5790,-476.7534,40.5449,-0.6695,18.0000,0,0,0,0,0
-105.7950,-477.3738,40.5247,-0.6694,18.0000,0,0,0,0,0
-105.0109,-477.9943,40.5060,-0.6694,18.0000,0,0,0,0,0
-104.2268,-478.6147,40.4885,-0.6694,18.0000,0,0,0,0,0
-103.4427,-479.2350,40.4721,-0.6693,18.0000,0,0,0,0,0
-102.6586,-479.8554,40.4570,-0.6693,18.0000,0,0,0,0,0
-101.8744,-480.4758,40.4430,-0.6693,18.0000,0,0,0,0,0
-101.0902,-481.0962,40.4300,-0.6693,18.0000,0,0,0,0,0
-100.3060,-481.7165,40.4178,-0.6693,18.0000,0,0,0,0,0
-99.5217,-482.3369,40.4063,-0.6693,18.0000,0,0,0,0,0
-98.7375,-482.9573,40.3956,-0.6693,18.0000,0,0,0,0,0
-97.9533,-483.5776,40.3854,-0.6692,18.0000,0,0,0,0,0
-97.1690,-484.1980,40.3756,-0.6692,18.0000,0,0,0,0,0
-96.3847,-484.8184,40.3662,-0.6692,18.0000,0,0,0,0,0
-95.6005,-485.4387,40.3570,-0.6692,18.0000,0,0,0,0,0
-94.8162,-486.0591,40.3480,-0.6692,18.0000,0,0,0,0,0
-94.0320,-486.6794,40.3389,-0.6692,18.0000,0,0,0,0,0
-93.2477,-487.2998,40.3297,-0.6692,18.0000,0,0,0,0,0
-92.4634,-487.9202,40.3204,-0.6692,18.0000,0,0,0,0,0
-91.6792,-488.5405,40.3106,-0.6692,18.0000,0,0,0,0,0
-90.8949,-489.1608,40.3000,-0.6692,18.0000,0,0,0,0,0
-90.1106,-489.7812,40.2891,-0.6692,18.0000,0,0,0,0,0
-89.3264,-490.4015,40.2776,-0.6692,18.0000,0,0,0,0,0
-88.5421,-491.0218,40.2657,-0.6692,18.0000,0,0,0,0,0
-87.7578,-491.6421,40.2533,-0.6692,18.0000,0,0,0,0,0
-86.9736,-492.2624,40.2403,-0.6692,18.0000,0,0,0,0,0
-86.1893,-492.8827,40.2273,-0.6692,18.0000,0,0,0,0,0
-85.4051,-493.5030,40.2138,-0.6692,18.0000,0,0,0,0,0
-84.6208,-494.1233,40.1999,-0.6692,18.0000,0,0,0,0,0
-83.8365,-494.7435,40.1857,-0.6692,18.0000,0,0,0,0,0
-83.0523,-495.3638,40.1710,-0.6691,18.0000,0,0,0,0,0
-82.2680,-495.9840,40.1561,-0.6691,18.0000,0,0,0,0,0
-81.4837,-496.6042,40.1407,-0.6691,18.0000,0,0,0,0,0
-80.6995,-497.2245,40.1252,-0.6691,18.0000,0,0,0,0,0
-79.9152,-497.8447,40.1093,-0.6691,18.0000,0,0,0,0,0
-79.1309,-498.4649,40.0932,-0.6691,18.0000,0,0,0,0,0
-78.3466,-499.0850,40.0767,-0.6691,18.0000,0,0,0,0,0
-77.5623,-499.7052,40.0600,-0.6691,18.0000,0,0,0,0,0
-76.7780,-500.3254,40.0432,-0.6690,18.0000,0,0,0,0,0
-75.9937,-500.9455,40.0260,-0.6690,18.0000,0,0,0,0,0
-75.2094,-501.5656,40.0087,-0.6690,18.0000,0,0,0,0,0
-74.4251,-502.1857,39.9912,-0.6690,18.0000,0,0,0,0,0
-73.6407,-502.8058,39.9734,-0.6690,18.0000,0,0,0,0,0
-72.8564,-503.4259,39.9556,-0.6690,18.0000,0,0,0,0,0
-72.0721,-504.0460,39.9375,-0.6690,18.0000,0,0,0,0,0
-71.2877,-504.6661,39.9194,-0.6689,18.0000,0,0,0,0,0
-70.5034,-505.2861,39.9011,-0.6689,18.0000,0,0,0,0,0
-69.7190,-505.9061,39.8827,-0.6689,18.0000,0,0,0,0,0
-68.9347,-506.5262,39.8642,-0.6689,18.0000,0,0,0,0,0
-68.1503,-507.1462,39.8457,-0.6689,18.0000,0,0,0,0,0
-67.3659,-507.7662,39.8270,-0.6689,18.0000,0,0,0,0,0
-66.5815,-508.3862,39.8083,-0.6689,18.0000,0,0,0,0,0
-65.7971,-509.0062,39.7896,-0.6689,18.0000,0,0,0,0,0
-65.0127,-509.6261,39.7708,-0.6688,18.0000,0,0,0,0,0
-64.2283,-510.2461,39.7520,-0.6688,18.0000,0,0,0,0,0
-63.4439,-510.8660,39.7332,-0.6688,18.0000,0,0,0,0,0
-62.6595,-511.4860,39.7145,-0.6688,18.0000,0,0,0,0,0
-61.8751,-512.1059,39.6958,-0.6688,18.0000,0,0,0,0,0
-61.0906,-512.7259,39.6771,-0.6688,18.0000,0,0,0,0,0
-60.3062,-513.3458,39.6585,-0.6688,18.0000,0,0,0,0,0
-59.5217,-513.9657,39.6399,-0.6688,18.0000,0,0,0,0,0
-58.7373,-514.5856,39.6214,-0.6688,18.0000,0,0,0,0,0
-57.9528,-515.2055,39.6032,-0.6688,18.0000,0,0,0,0,0
-57.1684,-515.8254,39.5849,-0.6687,18.0000,0,0,0,0,0
-56.3839,-516.4453,39.5668,-0.6687,18.0000,0,0,0,0,0
-55.5994,-517.0652,39.5489,-0.6687,18.0000,0,0,0,0,0
-54.8149,-517.6851,39.5311,-0.6687,18.0000,0,0,0,0,0
-54.0304,-518.3050,39.5135,-0.6687,18.0000,0,0,0,0,0
-53.2459,-518.9249,39.4961,-0.6687,18.0000,0,0,0,0,0
-52.4614,-519.5448,39.4789,-0.6687,18.0000,0,0,0,0,0
-51.6769,-520.1646,39.4620,-0.6687,18.0000,0,0,0,0,0
-50.8924,-520.7845,39.4452,-0.6687,18.0000,0,0,0,0,0
-50.1079,-521.4044,39.4288,-0.6687,18.0000,0,0,0,0,0
-49.3233,-522.0243,39.4125,-0.6687,18.0000,0,0,0,0,0
-48.5388,-522.6442,39.3966,-0.6687,18.0000,0,0,0,0,0
-47.7543,-523.2641,39.3809,-0.6687,18.0000,0,0,0,0,0
-46.9697,-523.8839,39.3656,-0.6687,18.0000,0,0,0,0,0
-46.1852,-524.5038,39.3506,-0.6687,18.0000,0,0,0,0,0
-45.4006,-525.1237,39.3362,-0.6687,18.0000,0,0,0,0,0
-44.6161,-525.7436,39.3218,-0.6687,18.0000,0,0,0,0,0
-43.8315,-526.3635,39.3078,-0.6687,18.0000,0,0,0,0,0
-43.0470,-526.9834,39.2942,-0.6687,18.0000,0,0,0,0,0
-42.2624,-527.6033,39.2811,-0.6687,18.0000,0,0,0,0,0
-41.4778,-528.2232,39.2684,-0.6687,18.0000,0,0,0,0,0
-40.6932,-528.8431,39.2561,-0.6687,18.0000,0,0,0,0,0
-39.9087,-529.4630,39.2443,-0.6687,18.0000,0,0,0,0,0
-39.1241,-530.0830,39.2329,-0.6687,18.0000,0,0,0,0,0
-38.3395,-530.7029,39.2221,-0.6687,18.0000,0,0,0,0,0
-37.5549,-531.3228,39.2118,-0.6687,18.0000,0,0,0,0,0
-36.7703,-531.9428,39.2017,-0.6687,18.0000,0,0,0,0,0
-35.9857,-532.5627,39.1924,-0.6687,18.0000,0,0,0,0,0
-35.2011,-533.1827,39.1838,-0.6687,18.0000,0,0,0,0,0
-34.4165,-533.8026,39.1753,-0.6687,18.0000,0,0,0,0,0
-33.6319,-534.4226,39.1676,-0.6687,18.0000,0,0,0,0,0
-32.8474,-535.0425,39.1601,-0.6687,18.0000,0,0,0,0,0
-32.0628,-535.6625,39.1526,-0.6687,18.0000,0,0,0,0,0
-31.2782,-536.2825,39.1458,-0.6687,18.0000,0,0,0,0,0
-30.4936,-536.9024,39.1393,-0.6687,18.0000,0,0,0,0,0
-29.7090,-537.5224,39.1332,-0.6687,18.0000,0,0,0,0,0
-28.9244,-538.1424,39.1272,-0.6687,18.0000,0,0,0,0,0
-28.1398,-538.7624,39.1216,-0.6688,18.0000,0,0,0,0,0
-27.3552,-539.3824,39.1161,-0.6688,18.0000,0,0,0,0,0
-26.5707,-540.0024,39.1108,-0.6688,18.0000,0,0,0,0,0
-25.7861,-540.6224,39.1057,-0.6688,18.0000,0,0,0,0,0
-25.0015,-541.2425,39.1007,-0.6688,18.0000,0,0,0,0,0
-24.2169,-541.8625,39.0959,-0.6688,18.0000,0,0,0,0,0
-23.4324,-542.4825,39.0912,-0.6688,18.0000,0,0,0,0,0
-22.6478,-543.1026,39.0865,-0.6688,18.0000,0,0,0,0,0
-21.8633,-543.7226,39.0819,-0.6688,18.0000,0,0,0,0,0
-21.0787,-544.3427,39.0772,-0.6688,18.0000,0,0,0,0,0
-20.2942,-544.9627,39.0726,-0.6688,18.0000,0,0,0,0,0
-19.5097,-545.5828,39.0679,-0.6688,18.0000,0,0,0,0,0
-18.7251,-546.2029,39.0631,-0.6689,18.0000,0,0,0,0,0
-17.9406,-546.8230,39.0583,-0.6689,18.0000,0,0,0,0,0
-17.1561,-547.4430,39.0534,-0.6689,18.0000,0,0,0,0,0
-16.3716,-548.0631,39.0483,-0.6689,18.0000,0,0,0,0,0
-15.5871,-548.6833,39.0431,-0.6689,18.0000,0,0,0,0,0
-14.8026,-549.3034,39.0376,-0.6689,18.0000,0,0,0,0,0
-14.0181,-549.9235,39.0319,-0.6689,18.0000,0,0,0,0,0
-13.2336,-550.5436,39.0260,-0.6689,18.0000,0,0,0,0,0
-12.4492,-551.1638,39.0197,-0.6690,18.0000,0,0,0,0,0
-11.6647,-551.7839,39.0128,-0.6690,18.0000,0,0,0,0,0
-10.8803,-552.4041,39.0056,-0.6690,18.0000,0,0,0,0,0
-10.0959,-553.0243,38.9984,-0.6690,18.0000,0,0,0,0,0
-9.3114,-553.6445,38.9912,-0.6690,18.0000,0,0,0,0,0
-8.5270,-554.2647,38.9843,-0.6690,18.0000,0,0,0,0,0
-7.7426,-554.8849,38.9773,-0.6691,18.0000,0,0,0,0,0
-6.9583,-555.5051,38.9708,-0.6691,18.0000,0,0,0,0,0
-6.1739,-556.1254,38.9643,-0.6691,18.0000,0,0,0,0,0
-5.3895,-556.7456,38.9580,-0.6691,18.0000,0,0,0,0,0
-4.6051,-557.3659,38.9523,-0.6691,18.0000,0,0,0,0,0
-3.8208,-557.9862,38.9467,-0.6691,18.0000,0,0,0,0,0
-3.0365,-558.6065,38.9416,-0.6692,18.0000,0,0,0,0,0
-2.2521,-559.2269,38.9370,-0.6692,18.0000,0,0,0,0,0
-1.4678,-559.8472,38.9327,-0.6692,18.0000,0,0,0,0,0
-0.6835,-560.4676,38.9294,-0.6692,18.0000,0,0,0,0,0
0.1008,-561.0880,38.9269,-0.6693,18.0000,0,0,0,0,0
0.8851,-561.7084,38.9244,-0.6693,18.0000,0,0,0,0,0
1.6693,-562.3288,38.9235,-0.6693,18.0000,0,0,0,0,0
2.4536,-562.9492,38.9227,-0.6693,18.0000,0,0,0,0,0
3.2378,-563.5697,38.9233,-0.6694,18.0000,0,0,0,0,0
4.0220,-564.1902,38.9244,-0.6694,18.0000,0,0,0,0,0
4.8062,-564.8107,38.9268,-0.6694,18.0000,0,0,0,0,0
5.5904,-565.4312,38.9304,-0.6694,18.0000,0,0,0,0,0
6.3745,-566.0518,38.9341,-0.6695,18.0000,0,0,0,0,0
7.1587,-566.6723,38.9398,-0.6695,18.0000,0,0,0,0,0
7.9428,-567.2929,38.9463,-0.6695,18.0000,0,0,0,0,0
8.7269,-567.9135,38.9536,-0.6696,18.0000,0,0,0,0,0
9.5109,-568.5341,38.9632,-0.6696,18.0000,0,0,0,0,0
10.2950,-569.1548,38.9740,-0.6696,18.0000,0,0,0,0,0
11.0790,-569.7754,38.9854,-0.6697,18.0000,0,0,0,0,0
11.8629,-570.3961,38.9993,-0.6697,18.0000,0,0,0,0,0
12.6468,-571.0168,39.0133,-0.6697,18.0000,0,0,0,0,0
13.4307,-571.6375,39.0310,-0.6698,18.0000,0,0,0,0,0
14.2145,-572.2582,39.0489,-0.6698,18.0000,0,0,0,0,0
14.9983,-572.8789,39.0675,-0.6698,18.0000,0,0,0,0,0
15.7820,-573.4997,39.0891,-0.6699,18.0000,0,0,0,0,0
16.5657,-574.1204,39.1121,-0.6699,18.0000,0,0,0,0,0
17.3493,-574.7412,39.1368,-0.6700,18.0000,0,0,0,0,0
18.1328,-575.3620,39.1642,-0.6700,18.0000,0,0,0,0,0
18.9163,-575.9827,39.1929,-0.6701,18.0000,0,0,0,0,0
19.6996,-576.6035,39.2250,-0.6701,18.0000,0,0,0,0,0
20.4830,-577.2243,39.2572,-0.6702,18.0000,0,0,0,0,0
21.2662,-577.8451,39.2919,-0.6703,18.0000,0,0,0,0,0
22.0492,-578.4659,39.3299,-0.6703,18.0000,0,0,0,0,0
22.8323,-579.0867,39.3679,-0.6704,18.0000,0,0,0,0,0
23.6152,-579.7074,39.4093,-0.6705,18.0000,0,0,0,0,0
24.3980,-580.3282,39.4524,-0.6705,18.0000,0,0,0,0,0
25.1806,-580.9490,39.4985,-0.6706,18.0000,0,0,0,0,0
25.9630,-581.5698,39.5479,-0.6708,18.0000,0,0,0,0,0
26.7453,-582.1906,39.5996,-0.6708,18.0000,0,0,0,0,0
27.5275,-582.8113,39.6520,-0.6709,18.0000,0,0,0,0,0
28.3094,-583.4321,39.7094,-0.6710,18.0000,0,0,0,0,0
29.0913,-584.0529,39.7667,-0.6712,18.0000,0,0,0,0,0
29.8727,-584.6737,39.8303,-0.6714,18.0000,0,0,0,0,0
30.6540,-585.2945,39.8944,-0.6714,18.0000,0,0,0,0,0
31.4352,-585.9153,39.9597,-0.6717,18.0000,0,0,0,0,0
