x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
156.1825,-373.0244,38.3554,-2.2637,18.0000,0,0,0,0,0
155.5511,-373.7850,38.3407,-2.2642,18.0000,0,0,0,0,0
154.9116,-374.5537,38.3556,-2.2646,18.0000,0,0,0,0,0
154.2723,-375.3225,38.3710,-2.2633,18.0000,0,0,0,0,0
153.6348,-376.0928,38.3866,-2.2600,18.0000,0,0,0,0,0
153.0006,-376.8658,38.4025,-2.2549,18.0000,0,0,0,0,0
152.3709,-377.6425,38.4188,-2.2488,18.0000,0,0,0,0,0
151.7463,-378.4232,38.4354,-2.2416,18.0000,0,0,0,0,0
151.1278,-379.2088,38.4525,-2.2310,18.0000,0,0,0,0,0
150.5200,-380.0026,38.4714,-2.2191,18.0000,0,0,0,0,0
149.9205,-380.8027,38.4920,-2.2138,18.0000,0,0,0,0,0
149.3210,-381.6028,38.5126,-2.2138,18.0000,0,0,0,0,0
148.7215,-382.4029,38.5332,-2.2138,18.0000,0,0,0,0,0
148.1220,-383.2030,38.5538,-2.2138,18.0000,0,0,0,0,0
147.5225,-384.0031,38.5744,-2.2106,18.0000,0,0,0,0,0
146.9281,-384.8070,38.5958,-2.2023,18.0000,0,0,0,0,0
146.3421,-385.6170,38.6189,-2.1972,18.0000,0,0,0,0,0
145.7560,-386.4269,38.6420,-2.1984,18.0000,0,0,0,0,0
145.1680,-387.2354,38.6654,-2.2026,18.0000,0,0,0,0,0
144.5752,-388.0404,38.6894,-2.2056,18.0000,0,0,0,0,0
143.9824,-388.8454,38.7135,-2.2056,18.0000,0,0,0,0,0
143.3895,-389.6503,38.7375,-2.2056,18.0000,0,0,0,0,0
142.7967,-390.4553,38.7615,-2.2056,18.0000,0,0,0,0,0
142.2039,-391.2603,38.7855,-2.2099,18.0000,0,0,0,0,0
141.6041,-392.0600,38.8094,-2.2247,18.0000,0,0,0,0,0
140.9878,-392.8472,38.8324,-2.2353,18.0000,0,0,0,0,0
140.3711,-393.6341,38.8553,-2.2355,18.0000,0,0,0,0,0
139.7544,-394.4210,38.8782,-2.2436,18.0000,0,0,0,0,0
139.1251,-395.1979,38.8975,-2.2525,18.0000,0,0,0,0,0
138.4945,-395.9737,38.9164,-2.2534,18.0000,0,0,0,0,0
137.8638,-396.7495,38.9354,-2.2534,18.0000,0,0,0,0,0
137.2331,-397.5253,38.9543,-2.2534,18.0000,0,0,0,0,0
